city,lat,lon,max temp,humidity,cloudiness,wind speed,date
Yellowknife,62.46,-114.35,48.2,66,90,13.87,1591750386
Itarema,-2.92,-39.92,77.23,86,0,8.77,1591750606
Buala,-8.14,159.59,86.25,68,23,6.98,1591750606
Ust-Kuyga,70.02,135.6,37.62,78,100,14.23,1591750606
Esperance,-33.87,121.9,50.0,61,99,12.75,1591750606
Hermanus,-34.42,19.23,57.0,88,0,14.0,1591750606
Kapaa,22.08,-159.32,84.2,70,40,16.11,1591750307
Graz,47.07,15.45,59.0,93,75,1.12,1591750606
Lata,40.16,-8.33,60.01,83,43,1.23,1591750606
New Norfolk,-42.78,147.06,52.0,71,100,4.0,1591750607
Cervo,43.67,-7.41,54.0,90,85,7.38,1591750607
Barrow,71.29,-156.79,32.0,81,90,8.05,1591750607
Mahébourg,-20.41,57.7,71.6,73,75,16.11,1591750607
Port-Gentil,-0.72,8.78,76.1,86,98,15.77,1591750607
Hilo,19.73,-155.09,82.4,69,90,8.05,1591750423
Black Diamond,47.31,-122.0,63.0,95,100,2.39,1591750607
Ancud,-41.87,-73.82,50.0,93,75,2.24,1591750608
Gombong,-7.61,109.51,79.84,80,37,4.54,1591750608
Weligama,5.97,80.42,80.35,87,77,10.71,1591750608
Bathsheba,13.22,-59.52,80.6,78,40,11.41,1591750608
Hīt,33.64,42.83,87.4,13,0,9.78,1591750608
Mossamedes,-15.2,12.15,64.47,81,97,8.95,1591750608
Mount Isa,-20.73,139.5,77.0,41,0,13.87,1591750608
Ahipara,-35.17,173.17,60.8,65,32,11.25,1591750608
Bria,6.54,21.99,70.3,94,100,0.36,1591750609
Haines Junction,60.75,-137.51,67.32,24,0,1.74,1591750609
Ponta do Sol,32.67,-17.1,64.4,68,20,8.05,1591750609
Cherskiy,68.75,161.3,72.77,33,100,15.48,1591750609
Tocopilla,-22.09,-70.2,64.45,62,18,6.38,1591750609
Nishihara,26.18,127.76,82.4,78,75,9.17,1591750610
Arsen'yev,44.16,133.27,79.88,59,100,1.12,1591750610
Klaksvík,62.23,-6.59,48.2,93,100,19.46,1591750610
Moses Lake,47.13,-119.28,68.0,52,75,5.82,1591750334
Okhotsk,59.38,143.3,43.11,93,100,28.03,1591750610
Lagoa,39.05,-27.98,63.82,87,100,9.86,1591750610
Morgan City,29.7,-91.21,84.0,94,0,4.7,1591750610
Tuktoyaktuk,69.45,-133.04,48.2,70,90,8.05,1591750610
Sur,22.57,59.53,84.15,74,24,2.82,1591750611
Hasaki,35.73,140.83,84.2,51,20,9.17,1591750611
East London,-33.02,27.91,76.64,29,0,14.5,1591750611
Semey,50.41,80.23,57.2,67,8,6.71,1591750611
Turbat,26.0,63.04,78.58,89,0,1.5,1591750611
Presidencia Roque Sáenz Peña,-26.79,-60.44,64.99,87,100,1.99,1591750611
Petatlán,17.52,-101.27,82.4,69,90,6.93,1591750611
Katsuura,35.13,140.3,84.0,58,38,16.11,1591750611
Broome,42.25,-75.83,82.4,45,1,1.45,1591750612
Belle Fourche,44.67,-103.85,63.0,29,0,5.01,1591750401
Albany,42.6,-73.97,73.99,49,0,4.0,1591750612
Wattegama,6.8,81.48,80.6,100,20,11.41,1591750612
Sitka,57.05,-135.33,59.0,47,90,4.7,1591750612
West Plains,36.73,-91.85,86.0,66,20,12.75,1591750612
Tobias Barreto,-11.18,-38.0,69.01,92,0,3.58,1591750612
Usvyaty,55.75,30.75,63.18,95,100,4.18,1591750612
São Gabriel da Cachoeira,-0.13,-67.09,74.55,94,100,0.92,1591750612
Mabaruma,8.2,-59.78,75.18,97,100,3.8,1591750613
Luanda,-8.84,13.23,75.2,83,40,8.05,1591750368
Houma,29.6,-90.72,84.0,88,90,10.29,1591750613
Grindavik,63.84,-22.43,46.4,87,75,6.93,1591750613
Rybachiy,48.71,44.74,66.2,77,0,11.18,1591750613
Nara,34.69,135.8,80.6,61,75,6.93,1591750613
Alice Town,25.72,-79.3,82.54,73,100,8.48,1591750614
Rørvik,64.86,11.24,49.5,79,0,8.52,1591750614
Jamestown,42.1,-79.24,82.4,48,1,5.82,1591750614
Hofn,64.25,-15.21,47.55,79,0,2.19,1591750614
Kabarnet,0.49,35.74,56.28,100,97,1.63,1591750614
Provideniya,64.38,-173.3,41.0,86,20,11.18,1591750614
Avarua,-21.21,-159.78,78.8,69,97,13.87,1591750615
Manokwari,-0.87,134.08,83.12,70,100,4.34,1591750615
Byron Bay,-28.65,153.62,66.2,88,100,9.17,1591750615
Noumea,-22.28,166.46,77.0,61,90,18.34,1591750606
Coahuayana Viejo,18.73,-103.68,77.0,69,40,17.22,1591750615
Turukhansk,65.82,87.98,51.76,54,63,3.78,1591750615
Mingguang,32.78,117.96,76.55,85,100,3.69,1591750615
Malakal,9.53,31.66,72.97,89,100,2.57,1591750615
Tshikapa,-6.42,20.8,71.2,47,6,2.93,1591750616
Kavaratti,10.57,72.64,84.38,79,76,14.34,1591750616
Price,39.6,-110.81,64.4,27,1,10.29,1591750616
Guerrero Negro,27.98,-114.06,79.65,25,0,20.85,1591750616
Vestmannaeyjar,63.44,-20.27,47.39,81,0,13.53,1591750616
Guadalupe y Calvo,26.1,-106.97,69.57,54,2,8.01,1591750616
San Quintín,30.48,-115.95,77.38,27,0,12.95,1591750616
Portland,45.52,-122.68,64.4,72,90,6.93,1591750355
Sirte,31.21,16.59,71.28,78,97,7.45,1591750617
Pisco,-13.7,-76.22,64.4,82,90,11.41,1591750617
Kharp,66.8,65.81,69.75,60,50,11.54,1591750617
Tasiilaq,65.61,-37.64,41.0,75,100,4.7,1591750617
Shingū,33.73,135.98,71.6,94,75,6.93,1591750617
Talaya,61.38,152.75,53.69,61,100,10.22,1591750617
Faanui,-16.48,-151.75,78.87,79,36,17.74,1591750617
Jardim,-21.48,-56.14,73.74,78,0,3.31,1591750617
La Ronge,55.1,-105.28,66.2,39,75,8.05,1591750618
Hamilton,39.18,-84.53,82.4,74,1,6.93,1591750618
Matamoros,25.53,-103.25,102.2,10,40,13.87,1591750618
Padang,-0.95,100.35,81.95,64,0,2.1,1591750618
Gamba,-2.65,10.0,72.81,92,13,6.44,1591750446
Kaitangata,-46.28,169.85,55.51,58,15,12.06,1591750618
Mykolayivka,47.54,30.76,63.12,68,0,2.01,1591750618
Samarai,-10.62,150.67,77.43,93,100,17.16,1591750618
Port Hardy,50.7,-127.42,55.4,87,90,12.75,1591750619
Mount Gambier,-37.83,140.77,44.6,87,0,8.05,1591750619
Shimanovsk,52.0,127.7,67.12,57,0,10.74,1591750619
Sørland,67.67,12.69,44.82,77,22,14.14,1591750619
Leningradskiy,69.38,178.42,64.11,35,82,9.75,1591750619
Yashan,22.2,109.94,83.07,82,100,7.05,1591750619
Bakhtiyārpur,25.47,85.52,82.4,83,0,3.36,1591750619
Puerto Maldonado,-12.6,-69.18,77.76,73,23,1.39,1591750619
Mbalmayo,3.52,11.5,69.8,100,20,2.24,1591750620
Khatanga,71.97,102.5,53.53,39,23,13.11,1591750620
Urmia,37.55,45.08,55.4,62,0,4.7,1591750620
Biloela,-24.42,150.5,71.51,57,29,12.93,1591750620
Tabou,4.42,-7.35,77.65,88,100,10.2,1591750620
Hualmay,-11.1,-77.61,62.85,84,18,4.99,1591750620
Pando,-34.72,-55.95,53.01,100,90,1.12,1591750620
Bama,11.52,13.69,82.29,49,10,13.38,1591750445
Dikson,73.51,80.55,34.21,100,100,11.07,1591750621
Kita,13.03,-9.49,87.42,43,100,3.8,1591750621
Qaanaaq,77.48,-69.36,29.03,87,0,1.3,1591750621
Manakara,-22.13,48.02,65.7,85,12,1.59,1591750621
Lüderitz,-26.65,15.16,57.87,89,38,11.92,1591750621
Abhā,18.22,42.51,73.4,37,6,9.17,1591750621
Castro,-24.79,-50.01,62.04,95,74,6.2,1591750621
Aketi,2.74,23.78,69.6,97,100,1.39,1591750622
Lebu,-37.62,-73.65,52.0,80,100,14.83,1591750622
Thompson,55.74,-97.86,50.0,93,90,8.05,1591750622
Coyhaique,-45.58,-72.07,39.2,60,90,5.82,1591750414
Launceston,-41.45,147.17,52.0,81,40,17.22,1591750622
Saskylakh,71.92,114.08,45.01,56,0,7.2,1591750622
Jizan,17.33,42.67,91.4,66,90,3.36,1591750622
Oranjemund,-28.55,16.43,57.45,86,1,16.6,1591750505
Westport,41.14,-73.36,75.2,57,1,6.93,1591750384
Moirāng,24.5,93.77,69.8,88,75,1.12,1591750623
Amahai,-3.33,128.92,82.36,75,54,3.51,1591750623
Souillac,-20.52,57.52,71.6,73,75,16.11,1591750623
Lakatoro,-16.1,167.42,80.6,83,75,11.41,1591750623
Najrān,17.49,44.13,84.2,20,75,6.93,1591750623
Shenjiamen,29.96,122.3,73.78,95,100,17.56,1591750623
Saint-Philippe,-21.36,55.77,66.2,63,39,12.75,1591750624
Ocós,14.51,-92.19,84.2,83,75,9.17,1591750624
Alofi,-19.06,-169.92,78.93,68,100,6.4,1591750624
Mana,5.66,-53.78,76.77,87,100,5.75,1591750624
Bengkulu,-3.8,102.27,79.52,76,4,3.27,1591750624
Mozarlândia,-14.74,-50.57,73.8,60,0,2.37,1591750624
Lujiang,31.26,117.28,79.0,94,90,6.71,1591750625
Nsanje,-16.92,35.26,63.25,96,13,1.99,1591750625
Constitución,-35.33,-72.42,49.73,64,0,3.42,1591750625
Creel,27.75,-107.63,72.05,36,35,13.78,1591750625
Chokurdakh,70.63,147.92,39.43,73,100,13.96,1591750625
Opuwo,-18.06,13.84,48.54,68,0,2.91,1591750625
Igarka,67.47,86.58,52.21,75,100,9.55,1591750625
Baisha,26.52,110.93,80.06,82,88,1.45,1591750625
Avera,33.19,-82.53,78.8,83,40,3.36,1591750626
Cidreira,-30.18,-50.21,60.87,86,100,2.57,1591750626
Lavrentiya,65.58,-171.0,39.88,76,88,6.31,1591750626
Norman Wells,65.28,-126.83,64.4,45,75,16.11,1591750626
Vao,-22.67,167.48,71.89,79,99,25.88,1591750626
Mackenzie,55.3,-123.17,66.2,29,20,18.34,1591750626
Ji’an,27.12,114.98,77.38,92,100,7.27,1591750627
Birjand,32.87,59.22,64.4,17,0,9.17,1591750627
Tiksi,71.69,128.87,31.21,92,100,10.16,1591750627
Santa Maria,-29.68,-53.81,59.0,100,75,4.7,1591750516
Yarmouth,41.71,-70.23,69.8,68,90,4.7,1591750627
Matara,5.95,80.54,80.01,87,100,10.56,1591750627
Egvekinot,66.32,-179.17,58.93,43,0,7.09,1591750627
Kupang,-10.17,123.58,84.2,62,40,17.22,1591750628
Vryheid,-27.77,30.79,46.9,51,0,3.65,1591750444
Tzucacab,20.07,-89.05,84.07,76,52,4.85,1591750628
Celestún,20.87,-90.4,86.63,74,0,11.1,1591750628
Narsaq,60.92,-46.05,55.4,54,75,24.16,1591750628
Zeya,53.75,127.27,66.18,58,47,4.92,1591750628
Finschhafen,-6.6,147.87,85.69,59,39,5.88,1591750628
Vanimo,-2.67,141.3,81.54,74,100,1.68,1591750628
Atikokan,48.76,-91.62,71.96,82,100,3.18,1591750629
Asău,46.43,26.4,55.99,88,41,1.9,1591750629
Ust-Nera,64.57,143.2,60.76,40,100,5.66,1591750629
Nelson Bay,-32.72,152.15,63.0,93,90,8.05,1591750629
Djambala,-2.54,14.75,67.64,96,100,4.43,1591750629
Dedza,-14.38,34.33,48.87,88,7,1.3,1591750630
Aklavik,68.22,-135.01,46.4,81,90,8.05,1591750615
Havre-St-Pierre,50.23,-63.6,50.0,46,75,6.93,1591750630
Jamkhed,18.74,75.31,77.54,75,84,11.36,1591750630
Deputatsky,69.3,139.9,38.25,77,100,5.46,1591750630
Cuamba,-14.8,36.54,58.33,85,0,0.69,1591750630
Carnarvon,-24.87,113.63,70.92,32,0,3.0,1591750520
La Baule-Escoublac,47.29,-2.36,59.0,77,100,4.7,1591750630
Torbay,47.67,-52.73,42.01,100,75,9.17,1591750631
Meulaboh,4.14,96.13,78.89,83,100,4.36,1591750631
Iqaluit,63.75,-68.51,33.8,74,90,18.34,1591750631
Port Augusta,-32.5,137.77,51.01,75,0,3.36,1591750631
Bonnyville,54.27,-110.73,66.2,34,75,11.41,1591750631
Sousse,35.83,10.64,71.01,73,68,11.41,1591750631
Nurota,40.56,65.69,60.8,29,0,4.7,1591750631
Visby,57.64,18.3,46.0,93,0,2.24,1591750632
Isangel,-19.55,169.27,80.6,74,75,11.41,1591750632
Lorengau,-2.02,147.27,85.24,75,93,6.51,1591750632
Puerto López,4.08,-72.96,76.46,83,34,1.83,1591750632
Bolobo,-2.17,16.23,72.03,90,88,3.06,1591750632
Santo Antônio do Içá,-3.1,-67.94,76.46,84,68,2.3,1591750632
Saint George,37.1,-113.58,84.0,10,1,8.05,1591750342
Faya,18.39,42.45,73.4,37,16,7.09,1591750632
Saint-Joseph,-21.37,55.62,66.2,63,25,12.75,1591750632
Danlí,14.03,-86.58,73.8,82,4,2.44,1591750633
College,64.86,-147.8,68.0,48,75,16.11,1591750634
Rāvar,31.27,56.81,72.05,21,0,1.57,1591750634
Kiryat Gat,31.61,34.76,69.01,81,99,1.59,1591750634
Marsabit,2.33,37.99,61.59,94,90,18.97,1591750634
Marsh Harbour,26.54,-77.06,81.45,78,100,5.35,1591750446
Yauco,18.04,-66.85,75.99,91,100,3.76,1591750572
Churapcha,62.0,132.43,59.86,54,86,7.47,1591750634
Havøysund,71.0,24.66,41.0,65,75,16.11,1591750635
Rome,43.21,-75.46,78.8,44,1,5.82,1591750635
Acapulco de Juárez,16.86,-99.89,84.2,70,75,6.93,1591750635
Simga,21.63,81.7,90.73,40,99,4.83,1591750635
Raja,8.46,25.68,69.21,92,100,8.5,1591750635
Novichikha,52.2,81.39,58.01,63,48,6.51,1591750635
Lithakia,37.72,20.83,60.8,93,0,2.24,1591750635
Nipawin,53.37,-104.0,66.2,39,20,11.41,1591750636
Codrington,-38.27,141.97,50.59,67,6,11.74,1591750636
Sistranda,63.73,8.83,48.2,81,0,3.36,1591750636
Kloulklubed,7.04,134.26,78.8,88,90,5.82,1591750636
Ambulu,-8.35,113.61,77.04,76,4,1.79,1591750636
Bubaque,11.28,-15.83,80.24,85,30,9.55,1591750636
Gobabis,-22.45,18.97,53.29,45,0,13.29,1591750636
Northam,51.03,-4.22,54.0,86,100,3.0,1591750636
Mirny,62.54,113.96,41.0,100,90,8.95,1591750637
Hoa Binh,20.81,105.34,86.0,79,75,8.05,1591750637
Brønnøysund,65.46,12.2,46.4,87,0,5.82,1591750637
Clyde River,70.47,-68.59,33.8,93,90,19.46,1591750637
Srednekolymsk,67.45,153.68,73.58,33,100,2.46,1591750637
Dakar,14.69,-17.44,77.0,94,40,4.7,1591750637
São Filipe,14.9,-24.5,74.75,84,26,4.68,1591750637
Yatou,37.15,122.38,69.17,91,100,6.78,1591750637
Borovskoy,53.8,64.15,67.96,67,60,4.61,1591750637
Dingle,11.0,122.67,85.15,68,100,3.06,1591750638
Tupik,54.43,119.93,61.54,39,58,11.39,1591750638
Yārāda,17.65,83.27,78.8,94,75,2.24,1591750638
Pochutla,15.74,-96.47,84.2,74,75,12.75,1591750638
Dunedin,-45.87,170.5,54.27,55,0,5.1,1591750638
Palimbang,6.21,124.19,83.64,66,73,2.59,1591750638
Apostolove,47.66,33.71,62.6,72,0,2.24,1591750639
Ketchikan,55.34,-131.65,53.6,93,90,26.4,1591750639
Rosário Oeste,-14.84,-56.43,76.89,57,0,3.51,1591750639
Taksimo,56.34,114.88,58.91,47,43,5.21,1591750639
Levice,48.22,18.61,62.01,94,99,1.01,1591750639
Caravelas,-17.71,-39.25,71.87,94,0,3.83,1591750640
Polovinnoye,54.79,65.99,68.79,61,87,5.57,1591750640
São João da Barra,-21.64,-41.05,72.05,89,0,9.37,1591750640
Icod de los Vinos,28.37,-16.71,73.0,81,19,4.0,1591750640
Chingirlau,51.09,54.08,64.83,54,89,9.01,1591750640
Taoudenni,22.68,-3.98,94.01,26,0,12.57,1591750640
Karratha,-20.74,116.85,76.84,42,0,10.92,1591750390
Santa Vitória do Palmar,-33.52,-53.37,53.17,94,0,3.11,1591750641
Saldanha,-33.01,17.94,59.0,87,38,21.92,1591750641
Strezhevoy,60.73,77.59,64.4,88,100,4.47,1591750641
Sundsvall,62.39,17.31,46.0,87,0,5.82,1591750641
Madanapalle,13.55,78.5,76.14,72,100,13.2,1591750568
Airai,-8.93,125.41,66.74,74,35,5.12,1591750641
Tamiahua,21.27,-97.45,84.0,86,0,6.98,1591750642
Lebyazh'ye,55.27,66.49,67.3,67,12,6.11,1591750642
São Miguel,-5.47,-35.37,75.2,100,75,3.36,1591750642
Porto Santo,33.07,-16.34,64.4,72,40,10.29,1591750643
Ostrovnoy,68.05,39.51,41.59,85,100,8.63,1591750643
Miraflores,19.22,-98.81,69.8,46,75,6.93,1591750643
Formosa,-26.18,-58.18,71.6,94,90,5.82,1591750643
Sept-Îles,50.2,-66.38,50.0,59,20,4.7,1591750643
Philadelphia,39.95,-75.16,82.99,51,1,8.05,1591750574
Morón,-34.65,-58.62,55.0,100,0,1.12,1591750518
Abbeyfeale,52.38,-9.3,53.6,100,90,10.29,1591750644
Ixtapa,20.7,-105.2,82.4,74,75,12.75,1591750644
Sovetskiy,61.36,63.58,70.47,51,0,6.85,1591750644
Southbridge,42.08,-72.03,72.0,55,83,3.89,1591750644
Saint-Augustin,51.23,-58.65,43.61,75,100,1.3,1591750644
Betsiamites,48.94,-68.65,57.2,66,1,4.7,1591750644
Treinta y Tres,-33.23,-54.38,51.21,89,52,1.41,1591750645
Koson,39.04,65.58,68.0,40,0,2.24,1591750645
Kroya,-7.63,109.25,79.92,81,46,7.58,1591750559
Salalah,17.02,54.09,84.2,94,75,6.93,1591750645
Yangi Marg`ilon,40.43,71.72,66.2,63,75,4.7,1591750645
Yarkovo,57.4,67.08,66.15,66,0,4.7,1591750645
Bereda,43.27,-7.54,50.0,1,98,3.71,1591750645
Tuatapere,-46.13,167.68,55.0,80,73,8.01,1591750645
Shīeli,44.17,66.75,71.08,38,0,11.12,1591750646
Emba,48.83,58.14,70.09,37,19,11.03,1591750646
Morehead,37.27,-87.18,82.4,78,75,8.05,1591750646
Marquette,46.53,-87.63,78.8,41,5,8.05,1591750646
Repnoye,51.59,43.19,62.01,83,0,1.01,1591750646
Wabag,-5.48,143.7,66.76,70,81,3.04,1591750646
Talitsa,56.88,60.02,59.0,82,0,1.7,1591750646
Barkhan,29.9,69.53,81.07,42,0,5.7,1591750646
Tawao,4.25,117.89,75.2,94,40,3.36,1591750647
Saint-Pierre,-21.34,55.48,66.2,63,13,12.75,1591750647
Coquimbo,-29.95,-71.34,53.6,87,100,4.7,1591750647
Akdepe,42.06,59.38,68.0,42,0,6.93,1591750647
Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,58,83,13.42,1591750647
Port Lincoln,-34.73,135.87,54.97,43,0,5.5,1591750647
Kutum,14.2,24.67,70.54,75,95,18.7,1591750647
Zharkent,44.16,80.0,66.38,37,85,7.14,1591750647
Goderich,43.75,-81.72,73.99,57,100,15.97,1591750648
Seydi,39.48,62.91,75.78,19,0,9.04,1591750648
Poum,-20.23,164.02,76.53,76,10,16.06,1591750648
Flinders,-34.58,150.86,61.0,88,100,1.01,1591750648
Malaya Serdoba,52.47,44.95,57.76,81,0,1.74,1591750648
Huarmey,-10.07,-78.15,63.79,80,73,4.07,1591750648
Makakilo City,21.35,-158.09,86.0,62,75,10.29,1591750648
Kīhei,20.79,-156.47,89.6,46,20,20.8,1591750648
Stepantsevo,56.13,41.7,56.8,92,0,1.52,1591750649
Marang,5.21,103.21,78.8,94,40,6.93,1591750649
Maïné Soroa,13.21,12.02,82.02,57,42,18.39,1591750649
Taganak,6.08,118.3,77.0,94,20,4.7,1591750649
St Albans,51.75,-0.33,57.0,87,20,3.36,1591750649
Riyadh,24.69,46.72,89.6,19,0,3.36,1591750535
Aberchirder,57.56,-2.63,51.01,88,100,3.0,1591750649
Axum,14.12,38.72,65.68,47,100,8.16,1591750650
Maltahöhe,-24.83,16.98,50.29,52,0,12.24,1591750650
Dali,25.7,100.18,68.86,71,46,4.16,1591750650
Severo-Kuril'sk,50.68,156.12,46.96,79,50,15.03,1591750651
Brewster,41.4,-73.62,78.8,50,1,9.17,1591750651
Laas,46.62,10.7,51.01,100,100,2.93,1591750651
Sesquilé,5.05,-73.8,55.4,87,40,4.7,1591750651
Castro Alves,-12.77,-39.43,68.79,98,48,3.65,1591750651
Villazón,-22.09,-65.59,46.94,41,0,7.52,1591750652
Rabo de Peixe,37.8,-25.58,62.6,77,20,2.24,1591750652
Hambantota,6.12,81.12,80.6,100,20,11.41,1591750652
Alice Springs,-23.7,133.88,57.2,35,0,8.05,1591750519
Dickson,36.08,-87.39,82.4,78,75,6.93,1591750652
Yar-Sale,66.83,70.83,64.65,71,100,22.39,1591750652
Malumfashi,11.79,7.62,77.7,73,100,13.76,1591750652
Cassilândia,-19.11,-51.73,70.18,72,0,2.46,1591750652
Winton,37.39,-120.61,91.4,15,5,9.75,1591750652
Sola,-13.88,167.55,78.8,94,75,5.82,1591750653
Forbes,-33.38,148.02,62.01,69,100,3.0,1591750653
Ibadan,7.39,3.9,72.43,96,100,3.29,1591750653
Kagoro,9.6,8.38,69.57,96,100,2.86,1591750653
Leshukonskoye,64.9,45.76,58.6,93,99,6.76,1591750653
Batticaloa,7.71,81.69,81.43,71,100,4.76,1591750653
San Rafael,-34.62,-68.33,52.27,42,0,4.9,1591750653
Wanning,18.8,110.4,86.02,74,100,12.28,1591750654
Ekhabi,53.51,142.97,46.71,94,100,8.28,1591750654
Tegul'det,57.31,88.17,48.85,84,100,1.83,1591750654
Luang Prabang,19.89,102.13,78.8,88,90,1.07,1591750654
Orsha,54.52,30.41,65.57,92,100,11.52,1591750654
Geraldton,-28.77,114.6,60.8,41,94,16.11,1591750654
Iwanai,42.97,140.51,74.01,52,100,6.29,1591750654
Nantucket,41.28,-70.1,64.0,87,90,4.7,1591750619
Saint Anthony,45.02,-93.22,73.4,83,75,5.82,1591750475
Ponazyrevo,58.36,46.31,58.15,87,0,4.29,1591750655
Washington,47.5,-120.5,62.6,59,90,8.05,1591750623
Zhongshu,24.52,103.77,69.46,84,13,6.13,1591750655
Port Blair,11.67,92.75,83.05,78,100,17.67,1591750655
Mahibadhoo,3.78,72.97,83.73,78,94,13.4,1591750655
Moussoro,13.64,16.49,88.66,32,0,5.53,1591750655
Paamiut,61.99,-49.67,43.48,94,100,5.55,1591750655
Moose Factory,51.26,-80.61,44.6,70,75,10.29,1591750655
Iquique,-20.22,-70.14,64.4,68,90,6.93,1591750655
Salisbury,51.07,-1.8,53.6,81,100,6.93,1591750476
Pangnirtung,66.15,-65.71,32.54,93,21,2.19,1591750656
Tilichiki,60.47,166.1,46.74,71,8,9.1,1591750656
Bethel,41.37,-73.41,78.8,50,1,9.17,1591750656
Micheweni,-4.97,39.83,76.93,80,56,10.22,1591750656
Gallup,35.53,-108.74,71.6,9,1,11.41,1591750656
Verkhneural'sk,53.88,59.21,51.8,76,0,8.95,1591750657
Biharamulo,-2.63,31.31,61.56,74,14,2.91,1591750657
Carnaíba,-8.7,-37.67,69.44,92,7,7.56,1591750657
Charters Towers,-20.1,146.27,68.32,57,100,11.12,1591750657
Waipawa,-41.41,175.52,57.2,71,0,17.22,1591750657
Yuancheng,36.65,107.79,67.21,64,100,3.85,1591750657
Los Llanos de Aridane,28.66,-17.92,69.8,77,75,9.17,1591750657
Saint-Paul,-21.01,55.27,69.8,64,20,18.34,1591750520
Derzhavīnsk,51.1,66.32,67.96,59,0,6.58,1591750658
